,成交股數
0,17382646.0
1,7250709.0
2,7853046.0
3,3597592.0
4,503734.0
5,121832.0
6,758704.0
7,185435.0
8,398240.0
9,183090.0
10,203585.0
11,106996.0
12,361520.0
13,86284.0
14,588142.0
15,290436.0
16,32431.0
17,5403.0
18,1916790.0
19,1231929.0
20,44001.0
21,19155.0
22,376309.0
23,194061.0
24,22027034.0
25,4802506.0
26,1806219.0
27,510462.0
28,1919776.0
29,588691.0
30,857592.0
31,272842.0
32,1098772.0
33,384119.0
34,2032745.0
35,2472320.0
36,1028139.0
37,427039.0
38,3272786.0
39,2416168.0
40,420020.0
41,124814.0
42,111032.0
43,15807.0
44,18234.0
45,14125.0
46,198875.0
47,46584.0
48,77930.0
49,21502.0
50,19279.0
51,11492.0
52,37581.0
53,27050.0
54,40181875.0
55,58552808.0
56,19774855.0
57,25137101.0
58,5146717.0
59,7981205.0
60,1699690.0
61,2058405.0
62,1402557.0
63,1334781.0
64,1428079.0
65,1477395.0
66,1985762.0
67,1619075.0
68,955206.0
69,1733903.0
70,7341137.0
71,8534626.0
72,2174199.0
73,2553693.0
74,12215458.0
75,11879471.0
76,28027.0
77,2585.0
78,5625058.0
79,2991642.0
80,3150050.0
81,10046073.0
82,248524.0
83,145132.0
84,28163.0
85,8607.0
86,116883.0
87,51383.0
88,22265154.0
89,9505041.0
90,20684709.0
91,27619839.0
92,283558.0
93,212424.0
94,157401.0
95,72098.0
96,60316.0
97,29246.0
98,175146.0
99,112854.0
100,18280.0
101,4154.0
102,350178.0
103,127302.0
104,14229852.0
105,5908656.0
106,1915681.0
107,957998.0
108,88242.0
109,30047.0
110,510889.0
111,72561.0
112,1027124.0
113,558377.0
114,690336.0
115,296825.0
116,362492.0
117,202319.0
118,5045.0
119,21103.0
120,122065.0
121,25224.0
122,83066.0
123,79025.0
124,378005.0
125,127428.0
126,2317243.0
127,2328277.0
128,1357.0
129,4346.0
130,423267.0
131,115904.0
132,145480.0
133,42100.0
134,225939.0
135,87932.0
136,32024.0
137,9209.0
138,1483119.0
139,497935.0
140,20902.0
141,23477.0
142,3246567.0
143,3232291.0
144,15037.0
145,15360.0
146,1266441.0
147,506492.0
148,57304.0
149,55050.0
150,734684.0
151,642484.0
152,1357448.0
153,572416.0
154,3908757.0
155,2526794.0
156,222403.0
157,51947.0
158,97108.0
159,17593.0
160,218320.0
161,496588.0
162,30895.0
163,54028.0
164,802333.0
165,231294.0
166,39001.0
167,81119.0
168,336555.0
169,152040.0
170,107840.0
171,91619.0
172,456131.0
173,332270.0
174,206182.0
175,54698.0
176,2166205.0
177,881287.0
178,74645.0
179,13351.0
180,183546.0
181,46327.0
182,191268.0
183,52174.0
184,39000.0
185,30000.0
186,3089.0
187,2000.0
188,629111.0
189,278355.0
190,26534.0
191,41393.0
192,761069.0
193,563522.0
194,230897.0
195,141671.0
196,82593.0
197,51703.0
198,569533.0
199,445746.0
200,1339473.0
201,1192894.0
202,2135940.0
203,1124900.0
204,4793801.0
205,1970879.0
206,39253.0
207,95603.0
208,74819.0
209,20026.0
210,3356548.0
211,1984622.0
212,3651622.0
213,2143021.0
214,515653.0
215,119360.0
216,186237.0
217,58811.0
218,375438.0
219,158812.0
220,4008299.0
221,3054497.0
222,64816.0
223,92100.0
224,2217850.0
225,3686055.0
226,3491485.0
227,9380615.0
228,39780.0
229,29283.0
230,41223.0
231,18433.0
232,437616.0
233,638288.0
234,2673265.0
235,1488751.0
236,548380.0
237,203383.0
238,64341.0
239,14270.0
240,598780.0
241,119528.0
242,1457960.0
243,782692.0
244,118879.0
245,427937.0
246,125150.0
247,73449.0
248,5324461.0
249,1862040.0
250,408019.0
251,150732.0
252,20327.0
253,8321.0
254,645437.0
255,225519.0
256,1403033.0
257,868768.0
258,18655.0
259,2313.0
260,179215.0
261,44628.0
262,2423425.0
263,1185476.0
264,798740.0
265,370196.0
266,220625.0
267,44579.0
268,945344.0
269,579974.0
270,36200.0
271,15150.0
272,577470.0
273,363588.0
274,356885.0
275,170820.0
276,653838.0
277,711016.0
278,4059087.0
279,4594401.0
280,1465291.0
281,478838.0
282,515354.0
283,158759.0
284,269784.0
285,101277.0
286,17494260.0
287,9195291.0
288,1377136.0
289,669440.0
290,5628840.0
291,2262260.0
292,722186.0
293,412758.0
294,1306948.0
295,389924.0
296,151256.0
297,50120.0
298,175815.0
299,41000.0
300,750177.0
301,184550.0
302,534404.0
303,172772.0
304,4525960.0
305,7237849.0
306,42731.0
307,10600.0
308,966886.0
309,341597.0
310,143262.0
311,100806.0
312,1259854.0
313,844403.0
314,672820.0
315,235554.0
316,1461661.0
317,842772.0
318,2705080.0
319,1645419.0
320,638311.0
321,257069.0
322,131853.0
323,49028.0
324,1639130.0
325,655244.0
326,1891326.0
327,1291338.0
328,3109244.0
329,1825767.0
330,385225.0
331,163891.0
332,2046170.0
333,1839659.0
334,5056345.0
335,2301749.0
336,522511.0
337,174976.0
338,139747.0
339,139005.0
340,128225.0
341,16198.0
342,879153.0
343,429236.0
344,40295.0
345,14663.0
346,230440.0
347,35007.0
348,7989751.0
349,2482933.0
350,250040.0
351,97147.0
352,303846.0
353,110151.0
354,117649.0
355,29280.0
356,780166.0
357,1948952.0
358,327701.0
359,89334.0
360,279114.0
361,87085.0
362,265311.0
363,98355.0
364,233650.0
365,84149.0
366,509384.0
367,435165.0
368,369741.0
369,94149.0
370,644014.0
371,251206.0
372,784515.0
373,1879895.0
374,640070.0
375,362019.0
376,1987733.0
377,1084793.0
378,6573218.0
379,5207919.0
380,261322.0
381,156682.0
382,1642582.0
383,1389254.0
384,1473805.0
385,790843.0
386,603082.0
387,321968.0
388,1265505.0
389,259377.0
390,175538.0
391,39373.0
392,433589.0
393,160142.0
394,1872787.0
395,831772.0
396,1405346.0
397,916059.0
398,159500.0
399,24702.0
400,1487999.0
401,680883.0
402,1476216.0
403,723817.0
404,48332042.0
405,28218194.0
406,3189896.0
407,1074466.0
408,351950.0
409,248438.0
410,104018.0
411,18100.0
412,1081525.0
413,598819.0
414,1253234.0
415,311689.0
416,121026.0
417,28358.0
418,102072.0
419,42125.0
420,4170232.0
421,2896633.0
422,573612.0
423,324703.0
424,682044.0
425,381214.0
426,680952.0
427,224666.0
428,508693.0
429,528431.0
430,1748938.0
431,1442965.0
432,1115.0
433,10201.0
434,590489.0
435,859234.0
436,11402613.0
437,9860956.0
438,127377.0
439,130979.0
440,374254.0
441,80142.0
442,637680.0
443,240067.0
444,508013.0
445,556237.0
446,205351.0
447,85954.0
448,174363.0
449,80018.0
450,915417.0
451,826136.0
452,405987.0
453,441005.0
454,9065516.0
455,4832989.0
456,1136844.0
457,516735.0
458,1718766.0
459,1194119.0
460,565922.0
461,158743.0
462,2423606.0
463,1749418.0
464,399668.0
465,414352.0
