證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,本益比
1101,台泥,"17,382,646","7,835","527,986,653",30.30,30.70,30.05,30.50,25.63
1101B,台泥乙特,"22,407",14,"1,054,988",47.10,47.20,47.00,47.20,0.00
1102,亞泥,"7,853,046","3,285","310,064,957",39.20,39.85,39.20,39.45,13.42
1103,嘉泥,"503,734",738,"8,159,922",16.45,16.45,16.05,16.10,23.00
1104,環泥,"758,704",746,"20,581,947",27.45,27.45,27.00,27.10,11.89
1108,幸福,"398,240",166,"5,599,981",14.10,14.25,14.00,14.05,13.51
1109,信大,"203,585",347,"3,442,535",16.90,17.10,16.80,17.10,9.83
1110,東泥,"361,520",404,"6,934,787",19.65,19.80,18.80,19.30,39.39
1201,味全,"588,142",576,"10,240,268",17.50,17.55,17.30,17.40,21.22
1203,味王,"32,431",133,"1,203,129",37.70,37.85,36.50,36.65,18.14
1210,大成,"1,916,790","1,717","97,532,869",50.40,52.00,50.10,52.00,12.84
1213,大飲,"44,001",20,"656,864",15.25,15.25,14.70,14.90,0.00
1215,卜蜂,"376,309",701,"34,196,655",91.60,91.60,90.50,91.60,14.54
1216,統一,"22,027,034","5,215","1,707,506,599",78.10,78.50,77.00,78.00,23.21
1217,愛之味,"1,806,219",827,"20,616,033",11.50,11.55,11.35,11.40,17.01
1218,泰山,"1,919,776","1,189","35,585,825",18.90,18.90,18.25,18.70,11.07
1219,福壽,"857,592",558,"11,804,434",14.15,14.15,13.40,13.80,23.39
1220,台榮,"1,098,772",501,"17,514,066",16.00,16.25,15.65,16.10,11.26
1225,福懋油,"2,032,745","2,662","91,001,531",46.95,46.95,43.30,44.80,25.17
1227,佳格,"1,028,139",949,"34,813,167",34.10,34.40,33.35,34.25,20.15
1229,聯華,"3,272,786","4,464","156,191,615",48.60,48.60,47.20,47.80,20.52
1231,聯華食,"420,020",936,"58,081,018",142.00,143.00,136.00,138.00,30.94
1232,大統益,"111,032",284,"15,949,400",144.00,144.00,143.00,144.00,17.82
1233,天仁,"18,234",26,"542,099",29.45,29.90,29.45,29.75,33.43
1234,黑松,"198,875",241,"8,023,542",40.55,40.60,40.20,40.50,16.88
1235,興泰,"77,930",164,"5,166,451",66.90,71.40,64.00,71.40,15.39
1236,宏亞,"19,279",118,"436,926",22.80,22.80,22.55,22.55,0.00
1256,鮮活果汁-KY,"37,581",249,"4,784,663",129.50,129.50,125.50,126.00,16.05
1301,台塑,"40,181,875","16,684","1,282,440,969",31.70,32.60,31.25,32.35,0.00
1303,南亞,"19,774,855","9,201","565,712,543",28.35,29.10,28.10,28.70,71.75
1304,台聚,"5,146,717","2,418","51,785,563",10.05,10.30,9.90,10.15,0.00
1305,華夏,"1,699,690",784,"18,535,531",10.95,11.25,10.70,11.15,0.00
1307,三芳,"1,402,557",999,"52,466,416",38.00,38.00,36.85,37.75,12.54
1308,亞聚,"1,428,079","1,177","18,667,334",13.10,13.35,12.85,13.30,0.00
1309,台達化,"1,985,762","1,410","25,400,817",12.90,13.20,12.50,12.75,0.00
1310,台苯,"955,206",818,"8,614,716",8.93,9.25,8.85,9.18,0.00
1312,國喬,"7,341,137","1,941","74,448,962",10.00,10.50,9.96,10.25,0.00
1312A,國喬特,0,0,0,--,--,--,--,0.00
1313,聯成,"2,174,199","1,559","17,915,112",8.30,8.38,8.15,8.35,0.00
1314,中石化,"12,215,458","4,454","83,167,018",6.88,6.94,6.70,6.94,21.69
1315,達新,"28,027",165,"1,879,122",67.70,67.80,66.80,66.90,66.90
1316,上曜,"5,625,058","2,429","75,403,459",13.95,14.10,13.10,13.15,0.00
1319,東陽,"3,150,050","1,975","348,626,428",109.50,112.50,109.00,110.00,16.72
1321,大洋,"248,524",137,"8,123,437",32.70,32.90,32.60,32.80,45.56
1323,永裕,"28,163",36,"680,588",24.35,24.35,24.05,24.25,8.85
1324,地球,"116,883",438,"1,408,244",12.30,12.30,11.90,12.00,171.43
1325,恆大,"22,265,154","13,635","888,898,459",38.15,41.75,38.05,38.50,0.00
1326,台化,"20,684,709","8,871","521,876,830",25.45,25.85,24.75,25.55,94.63
1337,再生-KY,"283,558",494,"1,690,019",6.00,6.00,5.92,5.99,0.00
1338,廣華-KY,"157,401",155,"4,280,146",27.45,27.80,26.85,26.90,0.00
1339,昭輝,"60,316",70,"3,245,464",54.30,54.30,53.50,54.00,9.98
1340,勝悅-KY,"175,146",480,"1,465,523",8.51,8.51,8.30,8.35,0.00
1341,富林-KY,"18,280",23,"1,238,812",67.80,68.50,67.50,68.50,14.70
1342,八貫,"350,178",380,"35,748,200",105.50,105.50,100.50,102.00,15.77
1402,遠東新,"14,229,852","5,043","428,304,792",30.20,30.40,29.80,30.15,16.94
1409,新纖,"1,915,681","1,031","27,687,523",14.65,14.65,14.30,14.50,16.29
1410,南染,"88,242",74,"3,083,753",35.15,35.90,34.60,35.00,102.94
1413,宏洲,"510,889",156,"5,424,743",10.65,10.80,10.40,10.60,0.00
1414,東和,"1,027,124",691,"24,506,395",24.50,24.70,23.20,23.60,78.67
1416,廣豐,"690,336",370,"8,293,575",12.30,12.30,11.80,12.00,22.64
1417,嘉裕,"362,492",693,"3,096,915",8.84,8.84,8.40,8.51,0.00
1418,東華,"5,045",26,"139,794",28.10,28.10,27.50,27.60,52.08
1419,新紡,"122,065",132,"5,090,892",42.95,42.95,40.50,41.80,19.44
1423,利華,"83,066",86,"3,040,059",36.85,36.85,36.25,36.55,74.59
1432,大魯閣,"378,005",436,"7,448,482",20.00,20.00,19.05,20.00,0.00
1434,福懋,"2,317,243","1,737","40,433,239",17.55,17.75,17.25,17.70,24.25
1435,中福,"1,357",36,"45,171",33.50,33.50,33.50,33.50,0.00
1436,華友聯,"423,267",427,"47,906,452",116.50,116.50,112.00,114.00,4.68
1437,勤益控,"145,480",168,"4,825,698",33.40,33.40,32.70,33.40,10.03
1438,三地開發,"225,939",184,"12,150,901",54.00,54.50,53.00,53.80,0.00
1439,雋揚,"32,024",34,"995,353",31.65,31.65,30.60,30.95,18.42
1440,南紡,"1,483,119","1,133","19,412,589",13.20,13.25,12.95,13.20,8.74
1441,大東,"20,902",151,"275,534",13.25,13.25,13.10,13.20,10.08
1442,名軒,"3,246,567","3,158","236,914,644",72.00,74.70,70.00,74.70,7.57
1443,立益物流,"15,037",22,"459,927",30.60,30.65,30.40,30.60,19.12
1444,力麗,"1,266,441","1,000","10,240,263",8.08,8.18,8.01,8.14,0.00
1445,大宇,"57,304",60,"967,410",17.15,17.15,16.60,16.80,2.30
1446,宏和,"734,684",533,"27,532,434",37.60,37.75,37.10,37.75,3.76
1447,力鵬,"1,357,448",797,"9,144,174",6.77,6.80,6.66,6.78,0.00
1449,佳和,"3,908,757","1,754","74,926,376",19.90,19.90,18.75,19.20,26.30
1451,年興,"222,403",269,"4,216,439",19.30,19.30,18.80,18.80,62.67
1452,宏益,"97,108",120,"1,427,556",14.85,14.85,14.35,14.80,25.96
1453,大將,"218,320",714,"2,940,298",13.85,13.85,13.30,13.45,21.35
1454,台富,"30,895",30,"453,495",14.65,14.70,14.65,14.70,66.82
1455,集盛,"802,333",892,"7,277,218",9.36,9.36,8.96,9.14,43.52
1456,怡華,"39,001",24,"561,114",14.45,14.65,14.20,14.65,0.00
1457,宜進,"336,555",199,"6,525,959",19.60,19.80,19.25,19.60,6.11
1459,聯發,"107,840",194,"997,227",9.22,9.45,9.14,9.29,25.11
1460,宏遠,"456,131",255,"3,168,035",7.01,7.03,6.80,7.03,0.00
1463,強盛新,"206,182",113,"5,108,890",25.00,25.00,24.65,24.80,55.11
1464,得力,"2,166,205",999,"35,825,189",16.60,16.80,16.20,16.80,24.71
1465,偉全,"74,645",130,"1,053,264",14.20,14.30,14.00,14.20,74.74
1466,聚隆,"183,546",108,"2,191,555",12.10,12.15,11.85,11.90,0.00
1467,南緯,"191,268",131,"1,972,493",10.40,10.40,10.25,10.30,27.11
1468,昶和,"39,000",27,"496,200",12.95,12.95,12.60,12.80,22.86
1470,大統新創,"3,089",6,"66,353",21.50,21.50,21.45,21.50,27.92
1471,首利,"629,111",356,"7,748,662",12.80,12.80,12.15,12.20,64.21
