證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,本益比
1101,台泥,"7,250,709","3,819","222,593,247",30.60,30.90,30.60,30.60,25.71
1101B,台泥乙特,"13,952",19,"658,632",47.20,47.25,47.10,47.25,0.00
1102,亞泥,"3,597,592","2,127","143,490,936",39.75,40.15,39.70,39.85,13.55
1103,嘉泥,"121,832",227,"1,987,325",16.10,16.40,16.10,16.40,23.43
1104,環泥,"185,435",193,"5,098,080",27.10,27.65,27.10,27.55,12.08
1108,幸福,"183,090",87,"2,592,232",14.10,14.25,14.05,14.25,13.70
1109,信大,"106,996",219,"1,825,146",17.10,17.20,17.00,17.05,9.80
1110,東泥,"86,284",77,"1,660,059",19.20,19.50,19.00,19.35,39.49
1201,味全,"290,436",297,"5,062,671",17.40,17.50,17.35,17.50,21.34
1203,味王,"5,403",85,"200,500",37.50,37.50,37.05,37.05,18.34
1210,大成,"1,231,929","1,529","63,763,856",51.90,52.00,51.20,52.00,12.84
1213,大飲,"19,155",11,"286,309",14.90,15.00,14.90,14.95,0.00
1215,卜蜂,"194,061",318,"17,866,101",92.00,92.60,91.70,92.00,14.60
1216,統一,"4,802,506","3,875","379,470,843",78.70,79.30,78.50,79.00,23.51
1217,愛之味,"510,462",349,"5,862,987",11.40,11.55,11.40,11.55,17.24
1218,泰山,"588,691",398,"11,169,839",18.85,19.10,18.85,19.00,11.24
1219,福壽,"272,842",217,"3,809,876",13.80,14.05,13.80,14.05,23.81
1220,台榮,"384,119",176,"6,240,746",16.05,16.40,16.05,16.20,11.33
1225,福懋油,"2,472,320","2,390","117,693,265",45.35,49.25,44.80,48.40,27.19
1227,佳格,"427,039",470,"14,657,568",34.30,34.55,34.20,34.30,20.18
1229,聯華,"2,416,168","3,928","114,736,261",47.20,48.05,47.15,47.20,20.26
1231,聯華食,"124,814",326,"17,215,138",138.00,138.50,137.00,138.00,30.94
1232,大統益,"15,807",107,"2,272,869",144.00,144.00,143.50,143.50,17.76
1233,天仁,"14,125",20,"420,251",29.80,29.85,29.70,29.85,33.54
1234,黑松,"46,584",75,"1,891,532",40.50,40.70,40.50,40.60,16.92
1235,興泰,"21,502",37,"1,529,742",71.40,71.50,70.50,71.50,15.41
1236,宏亞,"11,492",104,"259,225",22.55,22.55,22.50,22.55,0.00
1256,鮮活果汁-KY,"27,050",79,"3,449,786",125.50,132.00,125.50,127.00,16.18
1301,台塑,"58,552,808","28,706","1,997,599,201",32.40,35.25,32.40,34.95,0.00
1303,南亞,"25,137,101","12,033","755,923,274",28.85,30.70,28.85,30.45,76.12
1304,台聚,"7,981,205","3,014","82,408,870",10.05,10.55,10.05,10.20,0.00
1305,華夏,"2,058,405","1,023","23,701,109",11.10,11.80,11.10,11.55,0.00
1307,三芳,"1,334,781",968,"52,014,123",38.20,39.90,37.85,39.05,12.97
1308,亞聚,"1,477,395",943,"20,135,179",13.30,13.95,13.30,13.65,0.00
1309,台達化,"1,619,075",989,"21,081,221",12.95,13.25,12.80,13.00,0.00
1310,台苯,"1,733,903",974,"16,360,281",9.20,9.68,9.20,9.39,0.00
1312,國喬,"8,534,626","3,062","92,120,526",10.40,11.10,10.30,10.70,0.00
1312A,國喬特,"3,000",1,"66,900",22.30,22.30,22.30,22.30,0.00
1313,聯成,"2,553,693","1,179","21,948,662",8.34,8.72,8.34,8.69,0.00
1314,中石化,"11,879,471","3,868","83,756,344",6.95,7.14,6.94,7.11,22.22
1315,達新,"2,585",119,"174,483",66.80,66.80,66.80,66.80,66.80
1316,上曜,"2,991,642","1,257","40,026,495",13.30,13.65,13.10,13.65,0.00
1319,東陽,"10,046,073","6,162","1,159,752,927",113.00,117.50,113.00,113.50,17.25
1321,大洋,"145,132",106,"4,771,378",32.95,33.15,32.65,33.00,45.83
1323,永裕,"8,607",21,"209,250",24.25,24.35,24.10,24.30,8.87
1324,地球,"51,383",205,"626,096",12.00,12.40,12.00,12.15,173.57
1325,恆大,"9,505,041","5,854","341,671,984",38.40,38.50,34.70,34.70,0.00
1326,台化,"27,619,839","12,384","742,551,060",25.55,27.60,25.55,27.25,100.93
1337,再生-KY,"212,424",197,"1,279,968",5.98,6.07,5.98,6.05,0.00
1338,廣華-KY,"72,098",116,"1,959,985",26.90,27.50,26.90,27.35,0.00
1339,昭輝,"29,246",35,"1,593,017",54.00,54.80,53.90,54.60,10.09
1340,勝悅-KY,"112,854",214,"954,189",8.35,8.57,8.35,8.42,0.00
1341,富林-KY,"4,154",7,"282,419",67.90,68.40,67.80,68.40,14.68
1342,八貫,"127,302",198,"12,913,390",102.00,102.50,101.00,101.50,15.69
1402,遠東新,"5,908,656","2,536","181,153,832",30.20,30.85,30.20,30.60,17.19
1409,新纖,"957,998",501,"14,011,321",14.55,14.70,14.55,14.60,16.40
1410,南染,"30,047",30,"1,050,482",35.45,35.60,34.75,35.00,102.94
1413,宏洲,"72,561",41,"778,913",10.60,10.90,10.60,10.90,0.00
1414,東和,"558,377",460,"13,309,223",23.85,24.20,23.50,24.20,80.67
1416,廣豐,"296,825",228,"3,607,573",12.05,12.40,12.00,12.15,22.92
1417,嘉裕,"202,319",255,"1,737,634",8.54,8.66,8.51,8.64,0.00
1418,東華,"21,103",40,"579,099",27.60,28.50,26.50,28.50,53.77
1419,新紡,"25,224",31,"1,055,295",42.45,42.45,41.70,41.80,19.44
1423,利華,"79,025",51,"2,890,478",36.60,36.60,36.55,36.55,74.59
1432,大魯閣,"127,428",217,"2,545,564",20.00,20.05,19.90,20.00,0.00
1434,福懋,"2,328,277","1,250","41,823,426",17.70,18.30,17.65,18.10,24.79
1435,中福,"4,346",41,"145,124",33.50,33.50,33.30,33.30,0.00
1436,華友聯,"115,904",160,"13,256,322",114.50,115.00,114.00,114.50,4.70
1437,勤益控,"42,100",23,"1,407,800",33.40,33.50,33.30,33.50,10.06
1438,三地開發,"87,932",202,"4,815,391",54.00,55.20,54.00,54.90,0.00
1439,雋揚,"9,209",116,"288,430",32.00,32.00,31.50,31.60,18.81
1440,南紡,"497,935",389,"6,671,686",13.25,13.55,13.25,13.40,8.87
1441,大東,"23,477",97,"313,241",13.20,13.60,13.20,13.60,10.38
1442,名軒,"3,232,291","2,885","247,540,736",74.70,78.00,74.20,78.00,7.90
1443,立益物流,"15,360",22,"470,111",30.70,30.85,30.50,30.85,19.28
1444,力麗,"506,492",414,"4,189,548",8.19,8.30,8.19,8.28,0.00
1445,大宇,"55,050",49,"919,031",16.80,16.80,16.60,16.70,2.29
1446,宏和,"642,484",501,"24,894,069",37.85,39.25,37.85,39.00,3.88
1447,力鵬,"572,416",311,"3,946,045",6.78,6.96,6.78,6.93,0.00
1449,佳和,"2,526,794","1,237","49,101,542",19.00,19.90,18.95,19.70,26.99
1451,年興,"51,947",63,"984,385",18.85,19.05,18.85,18.95,63.17
1452,宏益,"17,593",52,"262,343",14.85,14.90,14.85,14.85,26.05
1453,大將,"496,588","1,066","6,657,562",13.30,13.75,13.30,13.70,21.75
1454,台富,"54,028",29,"795,561",14.65,14.95,14.55,14.85,67.50
1455,集盛,"231,294",238,"2,131,330",9.14,9.26,9.14,9.21,43.86
1456,怡華,"81,119",44,"1,172,975",14.40,14.65,14.35,14.35,0.00
1457,宜進,"152,040",105,"2,993,208",19.65,19.85,19.60,19.75,6.15
1459,聯發,"91,619",217,"845,352",9.25,9.28,9.15,9.27,25.05
1460,宏遠,"332,270",134,"2,326,059",6.91,7.04,6.91,7.04,0.00
1463,強盛新,"54,698",36,"1,360,778",24.80,25.00,24.75,24.90,55.33
1464,得力,"881,287",535,"14,744,649",16.80,16.85,16.60,16.85,24.78
1465,偉全,"13,351",35,"190,146",14.20,14.30,14.20,14.20,74.74
1466,聚隆,"46,327",79,"548,511",11.85,11.90,11.75,11.85,0.00
1467,南緯,"52,174",58,"538,977",10.40,10.40,10.30,10.35,27.24
1468,昶和,"30,000",19,"385,250",13.00,13.00,12.70,12.85,22.95
1470,大統新創,"2,000",2,"43,000",21.50,21.50,21.50,21.50,27.92
1471,首利,"278,355",164,"3,485,672",12.20,12.80,12.20,12.70,66.84
1472,三洋實業,"41,393",49,"2,848,903",68.80,69.00,68.20,68.50,26.86
1473,台南,"563,522",400,"20,090,613",35.00,36.15,35.00,35.50,12.33
1474,弘裕,"141,671",110,"1,736,430",12.30,12.30,12.25,12.25,11.78
1475,業旺,"51,703",60,"2,943,460",57.60,57.60,56.50,57.00,9.61
1476,儒鴻,"445,746",500,"233,021,051",520.00,525.00,518.00,519.00,22.49
1477,聚陽,"1,192,894","1,085","404,136,976",335.00,342.50,334.50,337.00,20.46
1503,士電,"1,124,900","3,679","198,304,642",176.50,180.00,174.00,174.50,31.56
1504,東元,"1,970,879","1,421","104,162,713",52.90,53.20,52.50,53.00,19.70
1506,正道,"95,603",67,"1,119,049",11.65,12.05,11.60,12.05,92.69
